-183.258, 75.160, 1.665,  3.778
-183.251, 75.105, 1.668,  3.811
-183.243, 75.049, 1.673,  3.844
-183.235, 74.994, 1.678,  3.877
-183.227, 74.939, 1.684,  3.910
-183.219, 74.883, 1.691,  3.943
-183.212, 74.827, 1.698,  3.976
-183.204, 74.770, 1.705,  4.009
-183.196, 74.714, 1.713,  4.042
-183.188, 74.657, 1.720,  4.075
-183.180, 74.600, 1.728,  4.108
-183.171, 74.543, 1.735,  4.141
-183.163, 74.486, 1.741,  4.174
-183.155, 74.428, 1.748,  4.207
-183.147, 74.370, 1.754,  4.240
-183.138, 74.312, 1.760,  4.273
-183.130, 74.254, 1.765,  4.306
-183.122, 74.196, 1.771,  4.339
-183.113, 74.137, 1.776,  4.372
-183.105, 74.078, 1.781,  4.405
-183.096, 74.019, 1.786,  4.438
-183.088, 73.960, 1.790,  4.471
-183.079, 73.901, 1.795,  4.504
-183.071, 73.842, 1.800,  4.537
-183.062, 73.782, 1.805,  4.570
-183.054, 73.723, 1.810,  4.603
-183.045, 73.663, 1.815,  4.636
-183.036, 73.603, 1.820,  4.669
-183.028, 73.543, 1.826,  4.702
-183.019, 73.482, 1.831,  4.735
-183.010, 73.422, 1.837,  4.768
-183.001, 73.361, 1.842,  4.801
-182.993, 73.300, 1.848,  4.834
-182.984, 73.239, 1.854,  4.867
-182.975, 73.178, 1.859,  4.900
-182.966, 73.116, 1.865,  4.933
-182.957, 73.055, 1.871,  4.966
-182.948, 72.993, 1.877,  4.999
-182.939, 72.931, 1.882,  5.032
-182.930, 72.868, 1.888,  5.065
-182.921, 72.806, 1.894,  5.098
-182.912, 72.743, 1.900,  5.131
-182.903, 72.681, 1.905,  5.164
-182.894, 72.618, 1.911,  5.197
-182.885, 72.554, 1.917,  5.230
-182.876, 72.491, 1.923,  5.263
-182.867, 72.427, 1.929,  5.296
-182.857, 72.364, 1.934,  5.329
-182.848, 72.300, 1.940,  5.362
-182.839, 72.235, 1.946,  5.395
-182.830, 72.171, 1.952,  5.428
-182.820, 72.107, 1.958,  5.461
-182.811, 72.042, 1.964,  5.494
-182.802, 71.977, 1.969,  5.527
-182.793, 71.912, 1.975,  5.560
-182.783, 71.846, 1.981,  5.593
-182.774, 71.781, 1.987,  5.626
-182.765, 71.715, 1.993,  5.659
-182.755, 71.649, 1.999,  5.692
-182.746, 71.583, 2.005,  5.725
-182.737, 71.517, 2.011,  5.758
-182.727, 71.450, 2.017,  5.791
-182.718, 71.383, 2.024,  5.824
-182.708, 71.316, 2.030,  5.857
-182.699, 71.249, 2.036,  5.890
-182.690, 71.182, 2.042,  5.923
-182.680, 71.114, 2.048,  5.956
-182.671, 71.047, 2.054,  5.989
-182.661, 70.979, 2.060,  6.022
-182.652, 70.910, 2.067,  6.055
-182.642, 70.842, 2.073,  6.088
-182.633, 70.773, 2.079,  6.121
-182.624, 70.705, 2.085,  6.154
-182.614, 70.636, 2.092,  6.187
-182.605, 70.566, 2.098,  6.220
-182.595, 70.497, 2.104,  6.253
-182.586, 70.427, 2.111,  6.286
-182.576, 70.357, 2.117,  6.319
-182.567, 70.287, 2.124,  6.352
-182.557, 70.217, 2.130,  6.385
-182.548, 70.146, 2.136,  6.418
-182.538, 70.076, 2.143,  6.451
-182.529, 70.005, 2.149,  6.484
-182.519, 69.934, 2.156,  6.517
-182.510, 69.862, 2.162,  6.550
-182.500, 69.791, 2.169,  6.583
-182.491, 69.719, 2.175,  6.616
-182.481, 69.647, 2.182,  6.649
-182.472, 69.574, 2.188,  6.682
-182.462, 69.502, 2.195,  6.715
-182.453, 69.429, 2.202,  6.748
-182.444, 69.356, 2.208,  6.781
-182.434, 69.283, 2.215,  6.814
-182.425, 69.210, 2.222,  6.847
-182.415, 69.136, 2.228,  6.880
-182.406, 69.062, 2.235,  6.913
-182.396, 68.988, 2.242,  6.946
-182.387, 68.914, 2.249,  6.979
-182.378, 68.839, 2.255,  7.012
-182.368, 68.764, 2.262,  7.045
-182.359, 68.689, 2.269,  7.078
-182.350, 68.614, 2.276,  7.111
-182.340, 68.539, 2.283,  7.144
-182.331, 68.463, 2.290,  7.177
-182.322, 68.387, 2.297,  7.210
-182.312, 68.311, 2.303,  7.243
-182.303, 68.234, 2.310,  7.276
-182.294, 68.158, 2.317,  7.309
-182.285, 68.081, 2.324,  7.342
-182.275, 68.004, 2.331,  7.375
-182.266, 67.926, 2.338,  7.408
-182.257, 67.849, 2.345,  7.441
-182.248, 67.771, 2.352,  7.474
-182.239, 67.693, 2.359,  7.507
-182.230, 67.615, 2.367,  7.540
-182.221, 67.536, 2.374,  7.573
